Crash ID,Crash Date,Crash Year,Person Type
12479460,1/1/12,2012,4 - PEDESTRIAN
12496179,1/1/12,2012,4 - PEDESTRIAN
12537241,1/1/12,2012,4 - PEDESTRIAN
12548524,1/1/12,2012,4 - PEDESTRIAN
12568393,1/1/12,2012,4 - PEDESTRIAN
12633591,1/1/12,2012,4 - PEDESTRIAN
12910440,1/1/12,2012,4 - PEDESTRIAN
12491987,1/2/12,2012,4 - PEDESTRIAN
12478735,1/3/12,2012,4 - PEDESTRIAN
12478735,1/3/12,2012,4 - PEDESTRIAN
12492612,1/3/12,2012,4 - PEDESTRIAN
12492175,1/4/12,2012,4 - PEDESTRIAN
12492527,1/4/12,2012,4 - PEDESTRIAN
12494857,1/4/12,2012,4 - PEDESTRIAN
12494926,1/4/12,2012,4 - PEDESTRIAN
12496220,1/4/12,2012,4 - PEDESTRIAN
12599475,1/4/12,2012,4 - PEDESTRIAN
12613549,1/4/12,2012,4 - PEDESTRIAN
12910441,1/4/12,2012,4 - PEDESTRIAN
12910441,1/4/12,2012,4 - PEDESTRIAN
12479499,1/5/12,2012,4 - PEDESTRIAN
12492486,1/5/12,2012,4 - PEDESTRIAN
12493091,1/5/12,2012,4 - PEDESTRIAN
12536744,1/5/12,2012,4 - PEDESTRIAN
12491840,1/6/12,2012,4 - PEDESTRIAN
12491840,1/6/12,2012,4 - PEDESTRIAN
12492155,1/6/12,2012,4 - PEDESTRIAN
12492643,1/6/12,2012,4 - PEDESTRIAN
12492679,1/6/12,2012,4 - PEDESTRIAN
12492794,1/6/12,2012,4 - PEDESTRIAN
12494934,1/7/12,2012,4 - PEDESTRIAN
12846760,1/7/12,2012,4 - PEDESTRIAN
12492787,1/9/12,2012,4 - PEDESTRIAN
12494928,1/9/12,2012,4 - PEDESTRIAN
12499721,1/9/12,2012,4 - PEDESTRIAN
12530031,1/9/12,2012,4 - PEDESTRIAN
12642671,1/9/12,2012,4 - PEDESTRIAN
12500166,1/10/12,2012,4 - PEDESTRIAN
12501095,1/10/12,2012,4 - PEDESTRIAN
13404381,1/10/12,2012,4 - PEDESTRIAN
12500065,1/11/12,2012,4 - PEDESTRIAN
12502258,1/11/12,2012,4 - PEDESTRIAN
12502277,1/12/12,2012,4 - PEDESTRIAN
12511247,1/12/12,2012,4 - PEDESTRIAN
12518561,1/12/12,2012,4 - PEDESTRIAN
12553327,1/13/12,2012,4 - PEDESTRIAN
12565888,1/13/12,2012,4 - PEDESTRIAN
12608135,1/13/12,2012,4 - PEDESTRIAN
12608135,1/13/12,2012,4 - PEDESTRIAN
12759896,1/13/12,2012,4 - PEDESTRIAN
12759896,1/13/12,2012,4 - PEDESTRIAN
12498860,1/14/12,2012,4 - PEDESTRIAN
12513321,1/14/12,2012,4 - PEDESTRIAN
12673573,1/14/12,2012,4 - PEDESTRIAN
12674128,1/14/12,2012,4 - PEDESTRIAN
12689470,1/14/12,2012,4 - PEDESTRIAN
12511532,1/15/12,2012,4 - PEDESTRIAN
12530498,1/15/12,2012,4 - PEDESTRIAN
12530498,1/15/12,2012,4 - PEDESTRIAN
12540657,1/15/12,2012,4 - PEDESTRIAN
12608730,1/15/12,2012,4 - PEDESTRIAN
12582533,1/16/12,2012,4 - PEDESTRIAN
12518548,1/17/12,2012,4 - PEDESTRIAN
12700667,1/17/12,2012,4 - PEDESTRIAN
12508856,1/18/12,2012,4 - PEDESTRIAN
12513199,1/18/12,2012,4 - PEDESTRIAN
12672747,1/18/12,2012,4 - PEDESTRIAN
12704745,1/18/12,2012,4 - PEDESTRIAN
12511512,1/20/12,2012,4 - PEDESTRIAN
12698380,1/20/12,2012,4 - PEDESTRIAN
12510908,1/21/12,2012,4 - PEDESTRIAN
12536712,1/21/12,2012,4 - PEDESTRIAN
12707739,1/21/12,2012,4 - PEDESTRIAN
12517068,1/24/12,2012,4 - PEDESTRIAN
12523641,1/24/12,2012,4 - PEDESTRIAN
12529954,1/24/12,2012,4 - PEDESTRIAN
12529899,1/25/12,2012,4 - PEDESTRIAN
12523335,1/26/12,2012,4 - PEDESTRIAN
12528172,1/26/12,2012,4 - PEDESTRIAN
12530020,1/26/12,2012,4 - PEDESTRIAN
12530538,1/26/12,2012,4 - PEDESTRIAN
12529583,1/27/12,2012,4 - PEDESTRIAN
12529917,1/27/12,2012,4 - PEDESTRIAN
12537298,1/27/12,2012,4 - PEDESTRIAN
13976385,1/27/12,2012,4 - PEDESTRIAN
12530034,1/28/12,2012,4 - PEDESTRIAN
12530260,1/28/12,2012,4 - PEDESTRIAN
12689200,1/28/12,2012,4 - PEDESTRIAN
12554312,1/30/12,2012,4 - PEDESTRIAN
12529539,1/31/12,2012,4 - PEDESTRIAN
12530530,1/31/12,2012,4 - PEDESTRIAN
12535042,1/31/12,2012,4 - PEDESTRIAN
12530436,2/1/12,2012,4 - PEDESTRIAN
12534874,2/1/12,2012,4 - PEDESTRIAN
12547097,2/1/12,2012,4 - PEDESTRIAN
12534966,2/2/12,2012,4 - PEDESTRIAN
12536141,2/2/12,2012,4 - PEDESTRIAN
12548527,2/2/12,2012,4 - PEDESTRIAN
12646608,2/2/12,2012,4 - PEDESTRIAN
12536337,2/3/12,2012,4 - PEDESTRIAN
12536441,2/3/12,2012,4 - PEDESTRIAN
12536183,2/4/12,2012,4 - PEDESTRIAN
12536367,2/5/12,2012,4 - PEDESTRIAN
12547377,2/5/12,2012,4 - PEDESTRIAN
12547377,2/5/12,2012,4 - PEDESTRIAN
12651646,2/6/12,2012,4 - PEDESTRIAN
12651646,2/6/12,2012,4 - PEDESTRIAN
12651646,2/6/12,2012,4 - PEDESTRIAN
12651646,2/6/12,2012,4 - PEDESTRIAN
12651646,2/6/12,2012,4 - PEDESTRIAN
13270771,2/6/12,2012,4 - PEDESTRIAN
12537610,2/7/12,2012,4 - PEDESTRIAN
12546948,2/8/12,2012,4 - PEDESTRIAN
12547093,2/8/12,2012,4 - PEDESTRIAN
12553666,2/8/12,2012,4 - PEDESTRIAN
12651643,2/8/12,2012,4 - PEDESTRIAN
12546921,2/9/12,2012,4 - PEDESTRIAN
12548472,2/9/12,2012,4 - PEDESTRIAN
12553671,2/9/12,2012,4 - PEDESTRIAN
12566616,2/9/12,2012,4 - PEDESTRIAN
12547486,2/10/12,2012,4 - PEDESTRIAN
12778192,2/10/12,2012,4 - PEDESTRIAN
12547044,2/11/12,2012,4 - PEDESTRIAN
12547348,2/11/12,2012,4 - PEDESTRIAN
12547350,2/11/12,2012,4 - PEDESTRIAN
12553097,2/11/12,2012,4 - PEDESTRIAN
12676054,2/12/12,2012,4 - PEDESTRIAN
12632515,2/13/12,2012,4 - PEDESTRIAN
12552834,2/14/12,2012,4 - PEDESTRIAN
12552914,2/14/12,2012,4 - PEDESTRIAN
12553623,2/14/12,2012,4 - PEDESTRIAN
12567020,2/14/12,2012,4 - PEDESTRIAN
12567020,2/14/12,2012,4 - PEDESTRIAN
12568390,2/14/12,2012,4 - PEDESTRIAN
12574205,2/14/12,2012,4 - PEDESTRIAN
12651640,2/14/12,2012,4 - PEDESTRIAN
12700668,2/14/12,2012,4 - PEDESTRIAN
12553235,2/15/12,2012,4 - PEDESTRIAN
12553264,2/15/12,2012,4 - PEDESTRIAN
12552461,2/17/12,2012,4 - PEDESTRIAN
12553094,2/17/12,2012,4 - PEDESTRIAN
12564910,2/17/12,2012,4 - PEDESTRIAN
12565276,2/17/12,2012,4 - PEDESTRIAN
12565923,2/17/12,2012,4 - PEDESTRIAN
12566765,2/17/12,2012,4 - PEDESTRIAN
12591777,2/18/12,2012,4 - PEDESTRIAN
12657825,2/19/12,2012,4 - PEDESTRIAN
12564832,2/20/12,2012,4 - PEDESTRIAN
12565909,2/20/12,2012,4 - PEDESTRIAN
12582496,2/20/12,2012,4 - PEDESTRIAN
12573310,2/21/12,2012,4 - PEDESTRIAN
12573398,2/21/12,2012,4 - PEDESTRIAN
12657663,2/21/12,2012,4 - PEDESTRIAN
12568990,2/23/12,2012,4 - PEDESTRIAN
12759934,2/23/12,2012,4 - PEDESTRIAN
12568258,2/24/12,2012,4 - PEDESTRIAN
12568415,2/24/12,2012,4 - PEDESTRIAN
12581934,2/24/12,2012,4 - PEDESTRIAN
12568300,2/25/12,2012,4 - PEDESTRIAN
12582049,2/25/12,2012,4 - PEDESTRIAN
12582369,2/25/12,2012,4 - PEDESTRIAN
12582381,2/27/12,2012,4 - PEDESTRIAN
12582382,2/27/12,2012,4 - PEDESTRIAN
12582515,2/27/12,2012,4 - PEDESTRIAN
12583772,2/27/12,2012,4 - PEDESTRIAN
12619019,2/27/12,2012,4 - PEDESTRIAN
12588959,2/28/12,2012,4 - PEDESTRIAN
12686232,2/28/12,2012,4 - PEDESTRIAN
12581969,2/29/12,2012,4 - PEDESTRIAN
12581969,2/29/12,2012,4 - PEDESTRIAN
12589710,2/29/12,2012,4 - PEDESTRIAN
12591405,2/29/12,2012,4 - PEDESTRIAN
14041607,2/29/12,2012,4 - PEDESTRIAN
12582002,3/1/12,2012,4 - PEDESTRIAN
12582497,3/1/12,2012,4 - PEDESTRIAN
12582498,3/1/12,2012,4 - PEDESTRIAN
12591744,3/1/12,2012,4 - PEDESTRIAN
12585050,3/2/12,2012,4 - PEDESTRIAN
12585139,3/2/12,2012,4 - PEDESTRIAN
12589754,3/2/12,2012,4 - PEDESTRIAN
12585021,3/3/12,2012,4 - PEDESTRIAN
12585085,3/3/12,2012,4 - PEDESTRIAN
12585085,3/3/12,2012,4 - PEDESTRIAN
12632104,3/3/12,2012,4 - PEDESTRIAN
12734160,3/4/12,2012,4 - PEDESTRIAN
12592017,3/5/12,2012,4 - PEDESTRIAN
12593341,3/5/12,2012,4 - PEDESTRIAN
12611472,3/5/12,2012,4 - PEDESTRIAN
12619929,3/5/12,2012,4 - PEDESTRIAN
13976388,3/5/12,2012,4 - PEDESTRIAN
12613281,3/6/12,2012,4 - PEDESTRIAN
12613281,3/6/12,2012,4 - PEDESTRIAN
12591853,3/7/12,2012,4 - PEDESTRIAN
12608807,3/7/12,2012,4 - PEDESTRIAN
12591791,3/8/12,2012,4 - PEDESTRIAN
12592868,3/8/12,2012,4 - PEDESTRIAN
12592868,3/8/12,2012,4 - PEDESTRIAN
12601329,3/8/12,2012,4 - PEDESTRIAN
12620405,3/8/12,2012,4 - PEDESTRIAN
12625216,3/8/12,2012,4 - PEDESTRIAN
12627585,3/8/12,2012,4 - PEDESTRIAN
12592889,3/9/12,2012,4 - PEDESTRIAN
12600083,3/9/12,2012,4 - PEDESTRIAN
12600083,3/9/12,2012,4 - PEDESTRIAN
12611484,3/9/12,2012,4 - PEDESTRIAN
12802604,3/9/12,2012,4 - PEDESTRIAN
12593374,3/12/12,2012,4 - PEDESTRIAN
12600300,3/12/12,2012,4 - PEDESTRIAN
12600605,3/12/12,2012,4 - PEDESTRIAN
12601330,3/12/12,2012,4 - PEDESTRIAN
12601334,3/12/12,2012,4 - PEDESTRIAN
12611963,3/12/12,2012,4 - PEDESTRIAN
12625954,3/12/12,2012,4 - PEDESTRIAN
12608647,3/13/12,2012,4 - PEDESTRIAN
12613319,3/13/12,2012,4 - PEDESTRIAN
12600209,3/14/12,2012,4 - PEDESTRIAN
12611937,3/14/12,2012,4 - PEDESTRIAN
12612010,3/14/12,2012,4 - PEDESTRIAN
12612453,3/14/12,2012,4 - PEDESTRIAN
12613700,3/14/12,2012,4 - PEDESTRIAN
12625259,3/14/12,2012,4 - PEDESTRIAN
12865197,3/14/12,2012,4 - PEDESTRIAN
12613429,3/15/12,2012,4 - PEDESTRIAN
12612414,3/16/12,2012,4 - PEDESTRIAN
12613617,3/16/12,2012,4 - PEDESTRIAN
12613699,3/16/12,2012,4 - PEDESTRIAN
12613801,3/16/12,2012,4 - PEDESTRIAN
14041609,3/16/12,2012,4 - PEDESTRIAN
12612408,3/17/12,2012,4 - PEDESTRIAN
12613585,3/17/12,2012,4 - PEDESTRIAN
12613662,3/17/12,2012,4 - PEDESTRIAN
12631496,3/17/12,2012,4 - PEDESTRIAN
12910446,3/17/12,2012,4 - PEDESTRIAN
12910447,3/17/12,2012,4 - PEDESTRIAN
12910447,3/17/12,2012,4 - PEDESTRIAN
12910447,3/17/12,2012,4 - PEDESTRIAN
12624947,3/18/12,2012,4 - PEDESTRIAN
12626009,3/18/12,2012,4 - PEDESTRIAN
12613565,3/19/12,2012,4 - PEDESTRIAN
12614132,3/19/12,2012,4 - PEDESTRIAN
12619023,3/19/12,2012,4 - PEDESTRIAN
12610045,3/20/12,2012,4 - PEDESTRIAN
12610045,3/20/12,2012,4 - PEDESTRIAN
12732246,3/20/12,2012,4 - PEDESTRIAN
12769290,3/20/12,2012,4 - PEDESTRIAN
12611497,3/21/12,2012,4 - PEDESTRIAN
12620375,3/21/12,2012,4 - PEDESTRIAN
12620921,3/21/12,2012,4 - PEDESTRIAN
12619017,3/22/12,2012,4 - PEDESTRIAN
12619021,3/22/12,2012,4 - PEDESTRIAN
12619064,3/22/12,2012,4 - PEDESTRIAN
12619414,3/22/12,2012,4 - PEDESTRIAN
12619484,3/22/12,2012,4 - PEDESTRIAN
12622697,3/22/12,2012,4 - PEDESTRIAN
12624734,3/22/12,2012,4 - PEDESTRIAN
12624949,3/22/12,2012,4 - PEDESTRIAN
12620424,3/23/12,2012,4 - PEDESTRIAN
12621162,3/23/12,2012,4 - PEDESTRIAN
12632012,3/23/12,2012,4 - PEDESTRIAN
12698917,3/23/12,2012,4 - PEDESTRIAN
12698917,3/23/12,2012,4 - PEDESTRIAN
12910289,3/23/12,2012,4 - PEDESTRIAN
12910289,3/23/12,2012,4 - PEDESTRIAN
12619474,3/24/12,2012,4 - PEDESTRIAN
12624630,3/24/12,2012,4 - PEDESTRIAN
12624721,3/24/12,2012,4 - PEDESTRIAN
12624964,3/24/12,2012,4 - PEDESTRIAN
12627871,3/24/12,2012,4 - PEDESTRIAN
12783053,3/24/12,2012,4 - PEDESTRIAN
12818351,3/25/12,2012,4 - PEDESTRIAN
12620922,3/26/12,2012,4 - PEDESTRIAN
12624616,3/26/12,2012,4 - PEDESTRIAN
12628328,3/26/12,2012,4 - PEDESTRIAN
12632516,3/26/12,2012,4 - PEDESTRIAN
12624589,3/27/12,2012,4 - PEDESTRIAN
12625270,3/27/12,2012,4 - PEDESTRIAN
12625930,3/27/12,2012,4 - PEDESTRIAN
12627889,3/27/12,2012,4 - PEDESTRIAN
12628253,3/27/12,2012,4 - PEDESTRIAN
12628322,3/27/12,2012,4 - PEDESTRIAN
12625840,3/28/12,2012,4 - PEDESTRIAN
12627615,3/28/12,2012,4 - PEDESTRIAN
12634760,3/28/12,2012,4 - PEDESTRIAN
12642147,3/28/12,2012,4 - PEDESTRIAN
12628314,3/29/12,2012,4 - PEDESTRIAN
12628397,3/29/12,2012,4 - PEDESTRIAN
12637846,3/29/12,2012,4 - PEDESTRIAN
12627571,3/30/12,2012,4 - PEDESTRIAN
12627586,3/30/12,2012,4 - PEDESTRIAN
12627862,3/30/12,2012,4 - PEDESTRIAN
12628258,3/30/12,2012,4 - PEDESTRIAN
12632461,3/30/12,2012,4 - PEDESTRIAN
12632505,3/30/12,2012,4 - PEDESTRIAN
12632730,3/30/12,2012,4 - PEDESTRIAN
12636521,3/30/12,2012,4 - PEDESTRIAN
12645582,3/30/12,2012,4 - PEDESTRIAN
12627614,3/31/12,2012,4 - PEDESTRIAN
12636453,3/31/12,2012,4 - PEDESTRIAN
12638167,3/31/12,2012,4 - PEDESTRIAN
12641970,3/31/12,2012,4 - PEDESTRIAN
12867827,3/31/12,2012,4 - PEDESTRIAN
12867827,3/31/12,2012,4 - PEDESTRIAN
12636493,4/1/12,2012,4 - PEDESTRIAN
12632498,4/2/12,2012,4 - PEDESTRIAN
12638218,4/2/12,2012,4 - PEDESTRIAN
12645301,4/2/12,2012,4 - PEDESTRIAN
12637389,4/3/12,2012,4 - PEDESTRIAN
12637421,4/3/12,2012,4 - PEDESTRIAN
12746357,4/3/12,2012,4 - PEDESTRIAN
12746357,4/3/12,2012,4 - PEDESTRIAN
12637874,4/4/12,2012,4 - PEDESTRIAN
12646055,4/4/12,2012,4 - PEDESTRIAN
12646350,4/4/12,2012,4 - PEDESTRIAN
12646350,4/4/12,2012,4 - PEDESTRIAN
12636388,4/5/12,2012,4 - PEDESTRIAN
12636516,4/5/12,2012,4 - PEDESTRIAN
12637872,4/5/12,2012,4 - PEDESTRIAN
12641990,4/5/12,2012,4 - PEDESTRIAN
12642034,4/5/12,2012,4 - PEDESTRIAN
12642696,4/5/12,2012,4 - PEDESTRIAN
12644422,4/5/12,2012,4 - PEDESTRIAN
12642101,4/6/12,2012,4 - PEDESTRIAN
12636387,4/7/12,2012,4 - PEDESTRIAN
12636531,4/7/12,2012,4 - PEDESTRIAN
12642140,4/7/12,2012,4 - PEDESTRIAN
12646058,4/8/12,2012,4 - PEDESTRIAN
12672271,4/8/12,2012,4 - PEDESTRIAN
12662660,4/9/12,2012,4 - PEDESTRIAN
12643687,4/10/12,2012,4 - PEDESTRIAN
12657808,4/10/12,2012,4 - PEDESTRIAN
12662389,4/10/12,2012,4 - PEDESTRIAN
12662877,4/10/12,2012,4 - PEDESTRIAN
12824279,4/10/12,2012,4 - PEDESTRIAN
13976395,4/10/12,2012,4 - PEDESTRIAN
12657768,4/11/12,2012,4 - PEDESTRIAN
12662258,4/11/12,2012,4 - PEDESTRIAN
12692328,4/11/12,2012,4 - PEDESTRIAN
12692328,4/11/12,2012,4 - PEDESTRIAN
12692328,4/11/12,2012,4 - PEDESTRIAN
12657727,4/12/12,2012,4 - PEDESTRIAN
12661420,4/14/12,2012,4 - PEDESTRIAN
12661420,4/14/12,2012,4 - PEDESTRIAN
12661797,4/14/12,2012,4 - PEDESTRIAN
12801785,4/14/12,2012,4 - PEDESTRIAN
12661781,4/15/12,2012,4 - PEDESTRIAN
12672844,4/15/12,2012,4 - PEDESTRIAN
12657276,4/16/12,2012,4 - PEDESTRIAN
12657810,4/16/12,2012,4 - PEDESTRIAN
12657906,4/16/12,2012,4 - PEDESTRIAN
12661796,4/16/12,2012,4 - PEDESTRIAN
12674255,4/16/12,2012,4 - PEDESTRIAN
12662827,4/17/12,2012,4 - PEDESTRIAN
12662859,4/17/12,2012,4 - PEDESTRIAN
12672746,4/17/12,2012,4 - PEDESTRIAN
12712488,4/17/12,2012,4 - PEDESTRIAN
13207598,4/17/12,2012,4 - PEDESTRIAN
12661405,4/18/12,2012,4 - PEDESTRIAN
12661940,4/18/12,2012,4 - PEDESTRIAN
12661798,4/19/12,2012,4 - PEDESTRIAN
12661810,4/19/12,2012,4 - PEDESTRIAN
12661835,4/19/12,2012,4 - PEDESTRIAN
12673821,4/19/12,2012,4 - PEDESTRIAN
12674100,4/19/12,2012,4 - PEDESTRIAN
12674271,4/19/12,2012,4 - PEDESTRIAN
12662011,4/20/12,2012,4 - PEDESTRIAN
12672287,4/20/12,2012,4 - PEDESTRIAN
12777217,4/20/12,2012,4 - PEDESTRIAN
12967121,4/20/12,2012,4 - PEDESTRIAN
12967121,4/20/12,2012,4 - PEDESTRIAN
12661834,4/21/12,2012,4 - PEDESTRIAN
12661849,4/21/12,2012,4 - PEDESTRIAN
12662898,4/21/12,2012,4 - PEDESTRIAN
12661718,4/22/12,2012,4 - PEDESTRIAN
12662900,4/22/12,2012,4 - PEDESTRIAN
12674125,4/22/12,2012,4 - PEDESTRIAN
12672197,4/23/12,2012,4 - PEDESTRIAN
12673551,4/24/12,2012,4 - PEDESTRIAN
12674025,4/24/12,2012,4 - PEDESTRIAN
12674036,4/24/12,2012,4 - PEDESTRIAN
12777939,4/24/12,2012,4 - PEDESTRIAN
12672365,4/25/12,2012,4 - PEDESTRIAN
12673588,4/25/12,2012,4 - PEDESTRIAN
12673816,4/25/12,2012,4 - PEDESTRIAN
12698344,4/25/12,2012,4 - PEDESTRIAN
12801830,4/25/12,2012,4 - PEDESTRIAN
12672410,4/26/12,2012,4 - PEDESTRIAN
12673822,4/26/12,2012,4 - PEDESTRIAN
12680859,4/26/12,2012,4 - PEDESTRIAN
12681055,4/26/12,2012,4 - PEDESTRIAN
12681338,4/26/12,2012,4 - PEDESTRIAN
12672864,4/27/12,2012,4 - PEDESTRIAN
12685273,4/27/12,2012,4 - PEDESTRIAN
12674259,4/28/12,2012,4 - PEDESTRIAN
12682095,4/28/12,2012,4 - PEDESTRIAN
12680844,4/29/12,2012,4 - PEDESTRIAN
12685185,4/29/12,2012,4 - PEDESTRIAN
12685327,4/29/12,2012,4 - PEDESTRIAN
12685327,4/29/12,2012,4 - PEDESTRIAN
12685300,4/30/12,2012,4 - PEDESTRIAN
12680714,5/1/12,2012,4 - PEDESTRIAN
12681340,5/1/12,2012,4 - PEDESTRIAN
12694233,5/2/12,2012,4 - PEDESTRIAN
12802603,5/2/12,2012,4 - PEDESTRIAN
12949027,5/2/12,2012,4 - PEDESTRIAN
12682923,5/3/12,2012,4 - PEDESTRIAN
12685141,5/3/12,2012,4 - PEDESTRIAN
12686238,5/3/12,2012,4 - PEDESTRIAN
12692551,5/3/12,2012,4 - PEDESTRIAN
12703334,5/3/12,2012,4 - PEDESTRIAN
12715250,5/3/12,2012,4 - PEDESTRIAN
12943727,5/3/12,2012,4 - PEDESTRIAN
12691605,5/4/12,2012,4 - PEDESTRIAN
12694052,5/4/12,2012,4 - PEDESTRIAN
12698041,5/4/12,2012,4 - PEDESTRIAN
12691131,5/5/12,2012,4 - PEDESTRIAN
12690979,5/6/12,2012,4 - PEDESTRIAN
12698080,5/6/12,2012,4 - PEDESTRIAN
12698428,5/6/12,2012,4 - PEDESTRIAN
12703338,5/6/12,2012,4 - PEDESTRIAN
12707270,5/6/12,2012,4 - PEDESTRIAN
12823139,5/6/12,2012,4 - PEDESTRIAN
12692604,5/7/12,2012,4 - PEDESTRIAN
12691894,5/8/12,2012,4 - PEDESTRIAN
12691834,5/9/12,2012,4 - PEDESTRIAN
12693966,5/9/12,2012,4 - PEDESTRIAN
12693992,5/9/12,2012,4 - PEDESTRIAN
12701289,5/9/12,2012,4 - PEDESTRIAN
12706593,5/9/12,2012,4 - PEDESTRIAN
12710863,5/9/12,2012,4 - PEDESTRIAN
12730318,5/9/12,2012,4 - PEDESTRIAN
12702578,5/10/12,2012,4 - PEDESTRIAN
12703356,5/10/12,2012,4 - PEDESTRIAN
12697558,5/11/12,2012,4 - PEDESTRIAN
12702974,5/11/12,2012,4 - PEDESTRIAN
12707683,5/11/12,2012,4 - PEDESTRIAN
12698180,5/12/12,2012,4 - PEDESTRIAN
12698374,5/12/12,2012,4 - PEDESTRIAN
12701710,5/12/12,2012,4 - PEDESTRIAN
12707288,5/12/12,2012,4 - PEDESTRIAN
12715394,5/12/12,2012,4 - PEDESTRIAN
12721148,5/12/12,2012,4 - PEDESTRIAN
12698173,5/13/12,2012,4 - PEDESTRIAN
12706080,5/13/12,2012,4 - PEDESTRIAN
12706084,5/13/12,2012,4 - PEDESTRIAN
12706425,5/13/12,2012,4 - PEDESTRIAN
12706425,5/13/12,2012,4 - PEDESTRIAN
12706728,5/13/12,2012,4 - PEDESTRIAN
12707688,5/14/12,2012,4 - PEDESTRIAN
12714154,5/14/12,2012,4 - PEDESTRIAN
12721140,5/14/12,2012,4 - PEDESTRIAN
12761327,5/14/12,2012,4 - PEDESTRIAN
12707469,5/15/12,2012,4 - PEDESTRIAN
12710619,5/16/12,2012,4 - PEDESTRIAN
12725727,5/16/12,2012,4 - PEDESTRIAN
12725727,5/16/12,2012,4 - PEDESTRIAN
12707325,5/17/12,2012,4 - PEDESTRIAN
12710801,5/17/12,2012,4 - PEDESTRIAN
12721892,5/17/12,2012,4 - PEDESTRIAN
12710845,5/18/12,2012,4 - PEDESTRIAN
12714124,5/18/12,2012,4 - PEDESTRIAN
12714124,5/18/12,2012,4 - PEDESTRIAN
12715240,5/18/12,2012,4 - PEDESTRIAN
12710732,5/19/12,2012,4 - PEDESTRIAN
12725071,5/19/12,2012,4 - PEDESTRIAN
12748428,5/19/12,2012,4 - PEDESTRIAN
12725042,5/20/12,2012,4 - PEDESTRIAN
12950072,5/20/12,2012,4 - PEDESTRIAN
12714145,5/21/12,2012,4 - PEDESTRIAN
12721931,5/21/12,2012,4 - PEDESTRIAN
12943723,5/21/12,2012,4 - PEDESTRIAN
12713249,5/22/12,2012,4 - PEDESTRIAN
12713249,5/22/12,2012,4 - PEDESTRIAN
12714187,5/22/12,2012,4 - PEDESTRIAN
12714206,5/22/12,2012,4 - PEDESTRIAN
12725017,5/22/12,2012,4 - PEDESTRIAN
12713242,5/23/12,2012,4 - PEDESTRIAN
12713242,5/23/12,2012,4 - PEDESTRIAN
12725538,5/23/12,2012,4 - PEDESTRIAN
12741620,5/23/12,2012,4 - PEDESTRIAN
12943260,5/23/12,2012,4 - PEDESTRIAN
12721152,5/24/12,2012,4 - PEDESTRIAN
12723974,5/24/12,2012,4 - PEDESTRIAN
12730152,5/24/12,2012,4 - PEDESTRIAN
12730324,5/24/12,2012,4 - PEDESTRIAN
12732475,5/24/12,2012,4 - PEDESTRIAN
12720957,5/25/12,2012,4 - PEDESTRIAN
12720957,5/25/12,2012,4 - PEDESTRIAN
12724730,5/25/12,2012,4 - PEDESTRIAN
12725015,5/25/12,2012,4 - PEDESTRIAN
12723925,5/26/12,2012,4 - PEDESTRIAN
12724718,5/26/12,2012,4 - PEDESTRIAN
12725063,5/26/12,2012,4 - PEDESTRIAN
12730207,5/26/12,2012,4 - PEDESTRIAN
12750531,5/26/12,2012,4 - PEDESTRIAN
12750531,5/26/12,2012,4 - PEDESTRIAN
12750531,5/26/12,2012,4 - PEDESTRIAN
12863224,5/26/12,2012,4 - PEDESTRIAN
12910456,5/27/12,2012,4 - PEDESTRIAN
13623097,5/27/12,2012,4 - PEDESTRIAN
12730137,5/29/12,2012,4 - PEDESTRIAN
12731249,5/29/12,2012,4 - PEDESTRIAN
12739575,5/29/12,2012,4 - PEDESTRIAN
12730738,5/30/12,2012,4 - PEDESTRIAN
12730743,5/30/12,2012,4 - PEDESTRIAN
12730454,5/31/12,2012,4 - PEDESTRIAN
12877389,5/31/12,2012,4 - PEDESTRIAN
12910256,5/31/12,2012,4 - PEDESTRIAN
12730643,6/1/12,2012,4 - PEDESTRIAN
12733723,6/1/12,2012,4 - PEDESTRIAN
12733723,6/1/12,2012,4 - PEDESTRIAN
12740403,6/1/12,2012,4 - PEDESTRIAN
12813505,6/1/12,2012,4 - PEDESTRIAN
12733647,6/2/12,2012,4 - PEDESTRIAN
12733710,6/2/12,2012,4 - PEDESTRIAN
12733710,6/2/12,2012,4 - PEDESTRIAN
12734107,6/2/12,2012,4 - PEDESTRIAN
12734128,6/3/12,2012,4 - PEDESTRIAN
12734595,6/4/12,2012,4 - PEDESTRIAN
12735043,6/4/12,2012,4 - PEDESTRIAN
12735043,6/4/12,2012,4 - PEDESTRIAN
12759646,6/4/12,2012,4 - PEDESTRIAN
12739626,6/5/12,2012,4 - PEDESTRIAN
12741059,6/5/12,2012,4 - PEDESTRIAN
12741059,6/5/12,2012,4 - PEDESTRIAN
12741635,6/5/12,2012,4 - PEDESTRIAN
12740484,6/6/12,2012,4 - PEDESTRIAN
12748551,6/6/12,2012,4 - PEDESTRIAN
12770678,6/6/12,2012,4 - PEDESTRIAN
12760696,6/7/12,2012,4 - PEDESTRIAN
12809920,6/7/12,2012,4 - PEDESTRIAN
12761031,6/8/12,2012,4 - PEDESTRIAN
12937477,6/8/12,2012,4 - PEDESTRIAN
12937477,6/8/12,2012,4 - PEDESTRIAN
12748503,6/9/12,2012,4 - PEDESTRIAN
12748503,6/9/12,2012,4 - PEDESTRIAN
12752279,6/9/12,2012,4 - PEDESTRIAN
12752279,6/9/12,2012,4 - PEDESTRIAN
